,freesound_id,license,name,path,tags,username
39,25310,http://creativecommons.org/publicdomain/zero/1.0/,Mini_Clap_ses1.wav,deliverables/drums/25310_173513-hq.ogg,"['2006', 'action', 'audiencia', 'august', 'barcelona', 'caixaforum', 'clap', 'clapping', 'crowd', 'disponible', 'female', 'freesound', 'human', 'la', 'male', 'mob', 'multitudinous', 'people', 'performance', 'voice']",freesound
40,377779,http://creativecommons.org/publicdomain/zero/1.0/,Handclap-06-six.aif,deliverables/drums/377779_5832939-hq.ogg,"['groove', 'rhythm', 'music', 'clapping', 'beat', 'handclap']",meisterleise
41,418730,http://creativecommons.org/publicdomain/zero/1.0/,Synth Clap.wav,deliverables/drums/418730_7844747-hq.ogg,"['Hand', 'Clap', 'WavePad', 'Clapping', 'Drum-Machine']",Lynx_5969
42,228362,http://creativecommons.org/publicdomain/zero/1.0/,Clapping.wav,deliverables/drums/228362_3370951-hq.ogg,"['School', 'Field-Recording', 'People', 'Clapping', 'Public', 'Applause', '18hiltc']",18hiltc
43,388042,http://creativecommons.org/licenses/by/3.0/,Clap.wav,deliverables/drums/388042_7282645-hq.ogg,"['handclap', 'slap', 'hands', 'clap', 'clapping']",Sami_Kullström
44,176434,http://creativecommons.org/licenses/by/3.0/,Pitch_down_tempo_up_claps.aif,deliverables/drums/176434_3262743-hq.ogg,"['clapping', 'tempo', 'up', 'lowered', 'pitch', 'sped']",ajkerekes
45,432874,http://creativecommons.org/licenses/by/3.0/,LFS_YayCheer.wav,deliverables/drums/432874_4157918-hq.ogg,"['lo-fi', 'lo-fi-stupidity', 'cheer', 'cheering', 'hooray', 'applauding', 'clapping', 'crowd', 'yay']",xtrgamr
46,219605,http://creativecommons.org/licenses/by/3.0/,amy_stackedclaps_1b.wav,deliverables/drums/219605_3008343-hq.ogg,"['claps', 'Clapping', 'handclap']",ani_music
47,98936,http://creativecommons.org/licenses/by/3.0/,Rock you.wav,deliverables/drums/98936_649468-hq.ogg,"['bang', 'banging', 'beat', 'clap', 'clapping', 'hand', 'hands', 'knocking', 'request', 'single', 'table']",juskiddink
48,20717,http://creativecommons.org/licenses/by/3.0/,small_applause-short_deepA.wav,deliverables/drums/20717_104634-hq.ogg,"['applause', 'clap', 'clapping', 'crowd', 'environmental-sounds-research']",destron
49,241132,http://creativecommons.org/licenses/by/3.0/,shortapplause_01.wav,deliverables/drums/241132_4157918-hq.ogg,"['applause', 'crowd', 'clapping', 'accomplishment', 'acheivement', 'clap']",xtrgamr
50,412157,http://creativecommons.org/publicdomain/zero/1.0/,High Five.m4a,deliverables/drums/412157_7985990-hq.ogg,"['clap', 'hands', 'five', 'high', 'hand', 'clapping', 'hand-clamping', 'impact']",chancelombardo
51,434823,http://creativecommons.org/publicdomain/zero/1.0/,Applause,deliverables/drums/434823_2927958-hq.ogg,"['film', 'clap', 'sound-design', 'audience', 'crowd', 'clapping', 'tv', 'theatre', 'applause', 'group']",bolkmar
52,409614,http://creativecommons.org/publicdomain/zero/1.0/,Palmada,deliverables/drums/409614_6446972-hq.ogg,"['hands', 'human', 'hand', 'clapping']",Pipe98x
53,449520,http://creativecommons.org/publicdomain/zero/1.0/,High Five (with added audio),deliverables/drums/449520_9289636-hq.ogg,"['laughing', 'clapping', 'talking', 'high-five']",12572598
54,257769,http://creativecommons.org/licenses/by/3.0/,Crowd applause 2.wav,deliverables/drums/257769_4157918-hq.ogg,"['applause', 'crowd', 'applaud', 'clapping', 'applauding', 'polite', 'cheering', 'audience', 'claps', 'clap']",xtrgamr
55,99636,http://creativecommons.org/licenses/by/3.0/,small crowd yelling 'YEAH'.wav,deliverables/drums/99636_1163166-hq.ogg,"['ambience', 'applaud', 'applauding', 'applause', 'approval', 'approve', 'atmosphere', 'audience', 'cheer', 'cheering', 'clap', 'clapping', 'crowd', 'foley', 'gather', 'gathering', 'group', 'h4n', 'laugh', 'laughing', 'laughter', 'medium', 'people', 'positive', 'reaction', 'sfx', 'shout', 'shouting', 'small', 'street', 'tomlija', 'yeah', 'yell', 'yelling', 'yes', 'zoom']",Tomlija
56,35035,http://creativecommons.org/licenses/by/3.0/,20070516.goal.01.wav,deliverables/drums/35035_8043-hq.ogg,"['applause', 'bravo', 'cheer', 'clapping', 'encouragement']",dobroide
57,391100,http://creativecommons.org/publicdomain/zero/1.0/,Testical Fart,deliverables/drums/391100_7284820-hq.ogg,"['man', 'testical', 'human', 'balls', 'fart', 'clapping', 'farting', 'queef']",efinpeter
58,24786,http://creativecommons.org/publicdomain/zero/1.0/,clap mix.wav,deliverables/drums/24786_165785-hq.ogg,['clap'],young_daddy
59,207952,http://creativecommons.org/licenses/by/3.0/,Claps 3,deliverables/drums/207952_19852-hq.ogg,"['softsynth', 'pro', 'abl', 'percussion', 'tb-303', 'drums', 'claps', 'realism']",altemark
